longitude,latitude,aver_price,latlon
121.4634828,31.24621607,118.2,"121.4634828,31.24621607"
121.46278,31.260227,122.4,"121.46278,31.260227"
121.465482,31.260132,76.8,"121.465482,31.260132"
121.462705,31.245238,116.3,"121.462705,31.245238"
121.464013,31.250366,122.2,"121.464013,31.250366"
121.463955,31.2631963,94.6,"121.463955,31.2631963"
121.4676,31.257899,86.0,"121.4676,31.257899"
121.468887,31.259116,117.1,"121.468887,31.259116"
121.457013,31.264454,107.5,"121.457013,31.264454"
121.462947,31.2613697,94.9,"121.462947,31.2613697"
121.462406,31.262001,95.0,"121.462406,31.262001"
121.4676,31.257899,110.4,"121.4676,31.257899"
121.457048,31.251189,93.5,"121.457048,31.251189"
121.466468,31.25607,104.4,"121.466468,31.25607"
121.457284,31.252493,87.9,"121.457284,31.252493"
121.465707,31.249454,129.3,"121.465707,31.249454"
121.464013,31.250366,135.3,"121.464013,31.250366"
121.468397,31.255647,80.2,"121.468397,31.255647"
121.464572,31.262645,146.9,"121.464572,31.262645"
121.465707,31.249454,137.5,"121.465707,31.249454"
121.468456,31.256685,130.4,"121.468456,31.256685"
121.458731,31.251472,92.2,"121.458731,31.251472"
121.469625,31.261422,96.0,"121.469625,31.261422"
121.463311,31.265661,93.3,"121.463311,31.265661"
121.464572,31.262645,116.8,"121.464572,31.262645"
121.465482,31.260132,80.9,"121.465482,31.260132"
121.465707,31.249454,119.7,"121.465707,31.249454"
121.4663018,31.25975327,82.7,"121.4663018,31.25975327"
121.4676,31.257899,85.7,"121.4676,31.257899"
121.464013,31.250366,135.9,"121.464013,31.250366"
121.465707,31.249454,107.1,"121.465707,31.249454"
121.464013,31.250366,159.4,"121.464013,31.250366"
121.465707,31.249454,110.8,"121.465707,31.249454"
121.465482,31.260132,107.5,"121.465482,31.260132"
121.462705,31.245238,160.5,"121.462705,31.245238"
121.4593563671,31.26281778527,95.6,"121.4593563671,31.26281778527"
121.466097,31.257013,114.7,"121.466097,31.257013"
121.467659,31.255665,157.4,"121.467659,31.255665"
121.468456,31.256685,111.1,"121.468456,31.256685"
121.469837,31.2594,125.0,"121.469837,31.2594"
121.457915,31.263993,73.5,"121.457915,31.263993"
121.465707,31.249454,121.7,"121.465707,31.249454"
121.465482,31.260132,84.6,"121.465482,31.260132"
121.464572,31.262645,142.9,"121.464572,31.262645"
121.464013,31.250366,141.3,"121.464013,31.250366"
121.4676,31.257899,96.8,"121.4676,31.257899"
121.4661219,31.25783669,123.0,"121.4661219,31.25783669"
121.465707,31.249454,171.1,"121.465707,31.249454"
121.4661219,31.25783669,114.3,"121.4661219,31.25783669"
121.466468,31.25607,111.1,"121.466468,31.25607"
121.466097,31.257013,153.1,"121.466097,31.257013"
121.459381,31.261468,110.7,"121.459381,31.261468"
121.4634828,31.24621607,130.8,"121.4634828,31.24621607"
121.464013,31.250366,130.4,"121.464013,31.250366"
121.464013,31.250366,126.0,"121.464013,31.250366"
121.466097,31.257013,139.7,"121.466097,31.257013"
121.459381,31.261468,93.9,"121.459381,31.261468"
121.457048,31.251189,115.8,"121.457048,31.251189"
121.463311,31.265661,93.3,"121.463311,31.265661"
121.466097,31.257013,130.4,"121.466097,31.257013"
121.462628,31.26535,77.4,"121.462628,31.26535"
121.465707,31.249454,108.7,"121.465707,31.249454"
121.4653619,31.26289062,129.3,"121.4653619,31.26289062"
121.464013,31.250366,134.4,"121.464013,31.250366"
121.46101975941,31.264815441201,104.7,"121.46101975941,31.264815441201"
121.4645046,31.24585978,109.8,"121.4645046,31.24585978"
121.460714,31.247862,94.9,"121.460714,31.247862"
121.4653619,31.26289062,122.1,"121.4653619,31.26289062"
121.4661219,31.25783669,142.9,"121.4661219,31.25783669"
121.464013,31.250366,130.4,"121.464013,31.250366"
121.466097,31.257013,169.0,"121.466097,31.257013"
121.4653619,31.26289062,136.5,"121.4653619,31.26289062"
121.4653619,31.26289062,141.7,"121.4653619,31.26289062"
121.469625,31.261422,141.2,"121.469625,31.261422"
121.4584935,31.26211006,80.9,"121.4584935,31.26211006"
121.466097,31.257013,187.5,"121.466097,31.257013"
121.457048,31.251189,110.5,"121.457048,31.251189"
121.467659,31.255665,135.4,"121.467659,31.255665"
121.466097,31.257013,145.8,"121.466097,31.257013"
121.4653619,31.26289062,140.8,"121.4653619,31.26289062"
121.457915,31.263993,81.3,"121.457915,31.263993"
121.457048,31.251189,102.7,"121.457048,31.251189"
121.465707,31.249454,106.5,"121.465707,31.249454"
121.467659,31.255665,182.7,"121.467659,31.255665"
121.465707,31.249454,107.7,"121.465707,31.249454"
121.467659,31.255665,165.9,"121.467659,31.255665"
121.466097,31.257013,103.4,"121.466097,31.257013"
121.466097,31.257013,163.2,"121.466097,31.257013"
121.4653619,31.26289062,156.2,"121.4653619,31.26289062"
121.462705,31.245238,121.0,"121.462705,31.245238"
121.467659,31.255665,118.0,"121.467659,31.255665"
121.4653619,31.26289062,125.0,"121.4653619,31.26289062"
121.4653619,31.26289062,155.1,"121.4653619,31.26289062"
121.460714,31.247862,116.2,"121.460714,31.247862"
121.467659,31.255665,146.0,"121.467659,31.255665"
121.467659,31.255665,130.4,"121.467659,31.255665"
121.466097,31.257013,146.0,"121.466097,31.257013"
121.459381,31.261468,90.0,"121.459381,31.261468"
121.466097,31.257013,134.9,"121.466097,31.257013"
121.468884,31.257819,104.0,"121.468884,31.257819"
121.467659,31.255665,142.9,"121.467659,31.255665"
121.467659,31.255665,140.5,"121.467659,31.255665"
121.467659,31.255665,122.9,"121.467659,31.255665"
121.466097,31.257013,133.3,"121.466097,31.257013"
121.4649428,31.24585907,87.5,"121.4649428,31.24585907"
121.466097,31.257013,122.0,"121.466097,31.257013"
121.468456,31.256685,98.4,"121.468456,31.256685"
121.462779,31.251167,103.1,"121.462779,31.251167"
121.462406,31.262001,111.7,"121.462406,31.262001"
121.467659,31.255665,106.4,"121.467659,31.255665"
121.465707,31.249454,83.9,"121.465707,31.249454"
121.466097,31.257013,132.5,"121.466097,31.257013"
121.467659,31.255665,146.7,"121.467659,31.255665"
121.467659,31.255665,162.7,"121.467659,31.255665"
