longitude,latitude,aver_price,latlon
116.416916,39.952631,210.5,"116.416916,39.952631"
116.407828,39.954616,218.8,"116.407828,39.954616"
116.404199,39.954132,137.5,"116.404199,39.954132"
116.405598,39.957975,121.7,"116.405598,39.957975"
116.413415,39.953375,200.0,"116.413415,39.953375"
116.409688,39.958188,150.0,"116.409688,39.958188"
116.404412,39.952825,155.6,"116.404412,39.952825"
116.400533,39.962226,85.5,"116.400533,39.962226"
116.405598,39.957975,108.8,"116.405598,39.957975"
116.405598,39.957975,96.9,"116.405598,39.957975"
116.404412,39.952825,172.2,"116.404412,39.952825"
116.417991,39.956806,124.5,"116.417991,39.956806"
116.413584,39.968217,119.3,"116.413584,39.968217"
116.400533,39.962226,120.7,"116.400533,39.962226"
116.413584,39.968217,112.7,"116.413584,39.968217"
116.409688,39.958188,114.0,"116.409688,39.958188"
116.413584,39.968217,128.3,"116.413584,39.968217"
116.408636,39.969379,130.0,"116.408636,39.969379"
116.405598,39.957975,126.1,"116.405598,39.957975"
116.41696,39.953572,113.8,"116.41696,39.953572"
116.413053,39.962564,141.5,"116.413053,39.962564"
116.411359,39.964549,97.1,"116.411359,39.964549"
116.400533,39.962226,127.3,"116.400533,39.962226"
116.408636,39.969379,114.8,"116.408636,39.969379"
116.410078,39.96471,120.7,"116.410078,39.96471"
116.417991,39.956806,177.1,"116.417991,39.956806"
116.41695,39.953993,138.3,"116.41695,39.953993"
116.411359,39.964549,115.8,"116.411359,39.964549"
116.404199,39.954132,175.0,"116.404199,39.954132"
116.407868,39.95802,130.4,"116.407868,39.95802"
116.407868,39.95802,113.3,"116.407868,39.95802"
116.409988,39.952769,132.7,"116.409988,39.952769"
116.410078,39.96471,143.9,"116.410078,39.96471"
116.41695,39.953993,136.0,"116.41695,39.953993"
116.410078,39.96471,120.4,"116.410078,39.96471"
116.394978,39.963326,142.9,"116.394978,39.963326"
116.41695,39.953993,138.8,"116.41695,39.953993"
116.409688,39.958188,125.0,"116.409688,39.958188"
116.404199,39.954132,157.5,"116.404199,39.954132"
116.405598,39.957975,176.5,"116.405598,39.957975"
116.402772,39.959887,122.4,"116.402772,39.959887"
116.413053,39.962564,141.3,"116.413053,39.962564"
116.400533,39.962226,124.1,"116.400533,39.962226"
116.410078,39.96471,141.5,"116.410078,39.96471"
116.407868,39.95802,156.8,"116.407868,39.95802"
116.411359,39.964549,146.3,"116.411359,39.964549"
116.413584,39.968217,161.0,"116.413584,39.968217"
116.409688,39.958188,116.1,"116.409688,39.958188"
116.405598,39.957975,108.8,"116.405598,39.957975"
116.41545,39.952859,109.1,"116.41545,39.952859"
116.409688,39.958188,116.1,"116.409688,39.958188"
116.40836,39.95216,193.3,"116.40836,39.95216"
116.409688,39.958188,101.7,"116.409688,39.958188"
116.409688,39.958188,107.1,"116.409688,39.958188"
116.410078,39.96471,120.7,"116.410078,39.96471"
116.395904,39.968635,114.0,"116.395904,39.968635"
116.41416,39.957669,148.7,"116.41416,39.957669"
116.413053,39.962564,127.3,"116.413053,39.962564"
116.41695,39.953993,138.3,"116.41695,39.953993"
116.411359,39.964549,131.4,"116.411359,39.964549"
116.412788,39.958761,125.0,"116.412788,39.958761"
116.404199,39.954132,144.2,"116.404199,39.954132"
116.410078,39.96471,124.1,"116.410078,39.96471"
116.408184,39.953334,145.5,"116.408184,39.953334"
116.405598,39.957975,140.4,"116.405598,39.957975"
116.404725,39.959932,122.0,"116.404725,39.959932"
116.412788,39.958761,127.9,"116.412788,39.958761"
116.413053,39.962564,130.9,"116.413053,39.962564"
116.423682,39.963048,136.4,"116.423682,39.963048"
116.411359,39.964549,129.8,"116.411359,39.964549"
116.400533,39.962226,133.3,"116.400533,39.962226"
116.403478,39.963248,121.7,"116.403478,39.963248"
116.41305,39.963793,108.3,"116.41305,39.963793"
116.403478,39.963248,135.6,"116.403478,39.963248"
116.41351,39.960267,135.6,"116.41351,39.960267"
116.407254,39.95298,132.3,"116.407254,39.95298"
116.404734,39.960609,133.3,"116.404734,39.960609"
116.400533,39.962226,141.5,"116.400533,39.962226"
116.41416,39.957669,148.1,"116.41416,39.957669"
116.404734,39.960609,148.1,"116.404734,39.960609"
116.411359,39.964549,107.1,"116.411359,39.964549"
116.404734,39.960609,136.8,"116.404734,39.960609"
116.41696,39.953572,138.9,"116.41696,39.953572"
116.417991,39.956806,128.6,"116.417991,39.956806"
116.394978,39.963326,121.0,"116.394978,39.963326"
116.408184,39.953334,121.8,"116.408184,39.953334"
116.41416,39.957669,152.1,"116.41416,39.957669"
116.417991,39.956806,138.9,"116.417991,39.956806"
116.417991,39.956806,130.0,"116.417991,39.956806"
116.412788,39.958761,160.0,"116.412788,39.958761"
