longitude,latitude,aver_price,latlon
113.35349713418,23.179702713964,62.5,"113.35349713418,23.179702713964"
113.359486,23.172948,70.6,"113.359486,23.172948"
113.35349713418,23.179702713964,45.0,"113.35349713418,23.179702713964"
113.36699248178,23.188353507806,35.0,"113.36699248178,23.188353507806"
113.35349713418,23.179702713964,69.6,"113.35349713418,23.179702713964"
113.363193,23.182606,56.6,"113.363193,23.182606"
113.365793,23.172016,48.7,"113.365793,23.172016"
113.35768,23.17504,78.1,"113.35768,23.17504"
113.369102,23.173875,62.2,"113.369102,23.173875"
113.359486,23.172948,60.0,"113.359486,23.172948"
113.36699248178,23.188353507806,44.6,"113.36699248178,23.188353507806"
113.369102,23.173875,62.5,"113.369102,23.173875"
113.366831,23.173789,79.5,"113.366831,23.173789"
113.36264,23.174549,48.4,"113.36264,23.174549"
113.36264,23.174549,55.6,"113.36264,23.174549"
113.359486,23.172948,80.0,"113.359486,23.172948"
113.35768,23.17504,73.5,"113.35768,23.17504"
113.369102,23.173875,60.0,"113.369102,23.173875"
113.366831,23.173789,87.0,"113.366831,23.173789"
113.359486,23.172948,82.8,"113.359486,23.172948"
113.359486,23.172948,63.3,"113.359486,23.172948"
113.359486,23.172948,90.0,"113.359486,23.172948"
113.359486,23.172948,63.2,"113.359486,23.172948"
113.36264,23.174549,56.9,"113.36264,23.174549"
113.35768,23.17504,61.3,"113.35768,23.17504"
113.36264,23.174549,46.0,"113.36264,23.174549"
113.35768,23.17504,60.7,"113.35768,23.17504"
113.36699248178,23.188353507806,42.9,"113.36699248178,23.188353507806"
113.365793,23.172016,45.7,"113.365793,23.172016"
113.36264,23.174549,51.4,"113.36264,23.174549"
113.369102,23.173875,42.1,"113.369102,23.173875"
113.364747,23.173677,49.4,"113.364747,23.173677"
113.369102,23.173875,40.0,"113.369102,23.173875"
113.369102,23.173875,51.6,"113.369102,23.173875"
113.36264,23.174549,48.0,"113.36264,23.174549"
113.35251274674,23.176554414194,38.4,"113.35251274674,23.176554414194"
113.36264,23.174549,51.7,"113.36264,23.174549"
113.35768,23.17504,63.6,"113.35768,23.17504"
113.36264,23.174549,48.6,"113.36264,23.174549"
113.36264,23.174549,46.2,"113.36264,23.174549"
113.36264,23.174549,46.9,"113.36264,23.174549"
113.36264,23.174549,37.4,"113.36264,23.174549"
113.361702,23.172601,51.9,"113.361702,23.172601"
113.365793,23.172016,58.3,"113.365793,23.172016"
113.369102,23.173875,44.4,"113.369102,23.173875"
113.369102,23.173875,42.9,"113.369102,23.173875"
113.36264,23.174549,57.5,"113.36264,23.174549"
113.35768,23.17504,55.0,"113.35768,23.17504"
113.36264,23.174549,56.9,"113.36264,23.174549"
113.36264,23.174549,48.6,"113.36264,23.174549"
113.36264,23.174549,49.2,"113.36264,23.174549"
113.36264,23.174549,55.6,"113.36264,23.174549"
113.36264,23.174549,47.1,"113.36264,23.174549"
113.36264,23.174549,48.4,"113.36264,23.174549"
113.361702,23.172601,52.1,"113.361702,23.172601"
113.36264,23.174549,51.9,"113.36264,23.174549"
113.369102,23.173875,55.6,"113.369102,23.173875"
113.366831,23.173789,76.1,"113.366831,23.173789"
113.36264,23.174549,50.0,"113.36264,23.174549"
113.36264,23.174549,34.9,"113.36264,23.174549"
113.36264,23.174549,42.9,"113.36264,23.174549"
113.35768,23.17504,54.8,"113.35768,23.17504"
113.355732,23.174067,81.5,"113.355732,23.174067"
113.36264,23.174549,49.4,"113.36264,23.174549"
113.35768,23.17504,56.7,"113.35768,23.17504"
113.35768,23.17504,55.0,"113.35768,23.17504"
113.356392,23.182891,67.3,"113.356392,23.182891"
113.35768,23.17504,60.7,"113.35768,23.17504"
113.36264,23.174549,56.9,"113.36264,23.174549"
113.35251274674,23.176554414194,47.5,"113.35251274674,23.176554414194"
113.35768,23.17504,81.1,"113.35768,23.17504"
113.36264,23.174549,46.4,"113.36264,23.174549"
113.36264,23.174549,50.8,"113.36264,23.174549"
113.36264,23.174549,58.1,"113.36264,23.174549"
113.36264,23.174549,52.2,"113.36264,23.174549"
113.36264,23.174549,49.3,"113.36264,23.174549"
113.36264,23.174549,43.9,"113.36264,23.174549"
113.36264,23.174549,51.7,"113.36264,23.174549"
113.36699248178,23.188353507806,45.5,"113.36699248178,23.188353507806"
113.36699248178,23.188353507806,50.0,"113.36699248178,23.188353507806"
113.363952,23.187701,51.6,"113.363952,23.187701"
113.36264,23.174549,50.8,"113.36264,23.174549"
113.36264,23.174549,62.1,"113.36264,23.174549"
113.36699248178,23.188353507806,49.4,"113.36699248178,23.188353507806"
113.36264,23.174549,55.6,"113.36264,23.174549"
113.36264,23.174549,61.3,"113.36264,23.174549"
113.36264,23.174549,51.6,"113.36264,23.174549"
113.36264,23.174549,48.8,"113.36264,23.174549"
113.368616,23.180087,45.7,"113.368616,23.180087"
