id,city,type,dist,bedroom_num,hall_num,bathroom_num,rent_area,house_title,resblock_name,bizcircle_name,layout,rent_price_listing,house_tag,frame_orientation,m_url,rent_price_unit,longitude,latitude,distance
12793,北京,整租,朝阳,2,1,2,88,整租·富力又一城A区 2室1厅 南,富力又一城A区,豆各庄,2室1厅2卫,6300,双卫生间,南,https://m.lianjia.com/chuzu/bj/zufang/BJ2425815885362511872.html,元/月,116.572491,39.853078,811
18368,北京,整租,朝阳,1,1,1,57,整租·远洋一方润园6号院 1室1厅 南,远洋一方润园6号院,双桥,1室1厅1卫,4300,精装 集中供暖 随时看房,南,https://m.lianjia.com/chuzu/bj/zufang/BJ2483844774344531968.html,元/月,116.598836,39.907647,
25711,北京,整租,海淀,2,2,2,125,整租·香溪度 2室2厅 南/北,香溪度,田村,2室2厅2卫,12000,精装 双卫生间,南 北,https://m.lianjia.com/chuzu/bj/zufang/BJ2461521383365017600.html,元/月,116.246633,39.938989,
25611,北京,整租,海淀,2,1,1,62,整租·永定路1号院 2室1厅 南,永定路1号院,田村,2室1厅1卫,5500,集中供暖 随时看房,南,https://m.lianjia.com/chuzu/bj/zufang/BJ2470061559536427008.html,元/月,116.270772,39.931256,
22944,北京,整租,海淀,2,1,1,56,整租·普惠北里 2室1厅 南/北,普惠北里,公主坟,2室1厅1卫,6800,近地铁 精装 集中供暖,南 北,https://m.lianjia.com/chuzu/bj/zufang/BJ2452176990439219200.html,元/月,116.314055,39.920498,
35278,北京,整租,通州,2,1,1,85,整租·瑞都国际南区 2室1厅 南,瑞都国际南区,九棵树(家乐福),2室1厅1卫,5400,近地铁 集中供暖 随时看房,南,https://m.lianjia.com/chuzu/bj/zufang/BJ2421610388291862528.html,元/月,116.662088,39.893938,505
7859,北京,整租,西城,2,1,1,58,整租·西什库大街74号院 2室1厅 东/西,西什库大街74号院,西四,2室1厅1卫,9000,近地铁 集中供暖,东 西,https://m.lianjia.com/chuzu/bj/zufang/BJ2478251544341127168.html,元/月,116.386392,39.929524,792
34693,北京,整租,通州,2,1,1,58,整租·南湖园 2室1厅 南/北,南湖园,大兴其它,2室1厅1卫,2200,集中供暖,南 北,https://m.lianjia.com/chuzu/bj/zufang/BJ2433883628359925760.html,元/月,116.379916,39.733308,
36463,北京,整租,通州,2,1,1,54,整租·首开万科城市之光 3房间 南,首开万科城市之光,通州其它,3房间1卫,3800,集中供暖 随时看房,南,https://m.lianjia.com/chuzu/bj/zufang/BJ2371793734695124992.html,元/月,116.595015,39.823306,888
17362,北京,整租,朝阳,3,1,2,133,整租·碧水星阁 3室1厅 西,碧水星阁,十里堡,3室1厅2卫,13000,近地铁 精装 集中供暖 双卫生间,西,https://m.lianjia.com/chuzu/bj/zufang/BJ2482650250565648384.html,元/月,116.503182,39.927612,415
29425,北京,整租,丰台,1,0,1,50,整租·有德家苑2号院 1室0厅 南,有德家苑2号院,旧宫,1室0厅1卫,3500,近地铁 精装,南,https://m.lianjia.com/chuzu/bj/zufang/BJ2484563960813600768.html,元/月,116.433932,39.793745,513
